en_form,domain,en_sense,de_aligned_forms,de_aligned_counts,example_en_sentence,example_de_sentence,n_instances,total_en_form_instances_in_domain,pct_of_form_in_domain
available,Edu,Affect,zugänglich,zugänglich:1,"You can take those great courses and make them available so that a kid could go out and watch the physics course , learn from that .","Man kann diese großartigen Kurse nehmen , sie zugänglich machen , so dass ein Kind sich diesen Physikunterricht angucken kann , hiervon lernen .",1,4,0.25
available,Edu,Judgement,,,,,0,4,0.0
available,Edu,Appreciation,"erhältlich, verfügbar","erhältlich:1, verfügbar:1","For example , New York passed a law that said that the teacher improvement data could not be made available and used in the tenure decision for the teachers .","Zu dem Beispiel hat New York ein Gesetz verabschiedet welches besagt , dass Daten zu der Lehrerverbesserung nicht benutzt werden dürfen um Laufbahnentscheidungen zu treffen .",3,4,0.75
bad,Edu,Affect,,,,,0,3,0.0
bad,Edu,Judgement,schlecht,schlecht:1,"It 's not developmentally appropriate , and it 's particularly bad for boys .","Es ist auch nicht angemessen für ihre Entwicklung , und es ist vor allem schlecht für Jungen .",1,3,0.3333
bad,Edu,Appreciation,"schlecht, schlechten","schlecht:1, schlechten:1","When I first learned the statistics , I was pretty stunned at how bad things are .",Als ich zuerst die Statistiken sah war ich ob der schlechten Lage ziemlich verblüfft .,2,3,0.6667
better,Edu,Affect,"besser, verbessern","besser:3, verbessern:1",They 're deeply engaged in making teaching better .,"Sie sind zutiefst damit beschäftigt , Lehre zu verbessern .",5,9,0.5556
better,Edu,Judgement,besser,besser:1,It does n't get better than that .,Etwas Besseres gibt es nicht .,2,9,0.2222
better,Edu,Appreciation,"gründlicher, verbesserte","gründlicher:1, verbesserte:1","As it happens , the black minister did his job better than the white mayor , but that 's neither here or there .","Und an dem Ende war der schwarze Geistliche gründlicher als der weiße Bürgermeister , aber das ist ohne Belang .",2,9,0.2222
bored,Edu,Affect,"Langeweile, langweilen","Langeweile:1, langweilen:1","This continued after high school , and at a certain point , I began to notice this pattern in myself where I would become interested in an area and I would dive in , become all - consumed , and I 'd get to be pretty good at whatever it was , and then I would hit this point where I 'd start to get bored .","Nach der Highschool ging es so weiter . Irgendwann begann ich , ein Verhaltensmuster bei mir zu erkennen . Eine Sache weckt mein Interesse und ich tauche darin ein , versinke völlig darin , und ich werde wirklich gut darin , um was es sich auch handelt . Dann kommt der Moment , an dem ich beginne , mich zu langweilen .",2,4,0.5
bored,Edu,Judgement,langweilig,langweilig:1,Scientists also take advantage of the fact that babies will slow down their sucking when something interests them and resume their fast sucking when they get bored .,"Wissenschaftler nutzen auch die Tatsache , dass Babys langsamer nuckeln , wenn etwas ihr Interesse geweckt hat . und sie nuckeln wieder schneller , wenn ihnen langweilig wird .",1,4,0.25
bored,Edu,Appreciation,gelangweilten,gelangweilten:1,"And the teacher was constantly scanning to see which kids were n't paying attention , which kids were bored , and calling kids rapidly , putting things up on the board .","Und der Lehrer suchte ständig nach unaufmerksamen Kindern , nach gelangweilten Kindern und rief Kinder schnell auf , an der Tafel arbeitend .",1,4,0.25
brave,Edu,Affect,mutig,mutig:3,It 's going to require that we 're brave enough to stand up in the face of people who try to silence or delegitimize dissenting voices .,"Es erfordert Mut , uns gegen Menschen zu erheben , die andere Meinungen zu dem Schweigen bringen oder delegitimieren wollen .",4,6,0.6667
brave,Edu,Judgement,Mutigsein Perfektsein,Mutigsein Perfektsein:1,"And so those 600,000 jobs that are open right now in computing and tech , women are being left behind , and it means our economy is being left behind on all the innovation and problems women would solve if they were socialized to be brave instead of socialized to be perfect .","Es gibt zurzeit 600 000 freie Stellen in der Computer - und Technologiebranche . Aber Frauen bleiben auf der Strecke und das bedeutet , dass unsere Wirtschaft bei Innovationen und Problemen auf der Strecke bleibt , weil die Frauen , die sie lösen könnten , nicht zu dem Mutigsein erzogen wurden , sondern zu dem Perfektsein .",1,6,0.1667
brave,Edu,Appreciation,Mutiges perfekt,Mutiges perfekt:1,"I tell you the story of how I ran for Congress because I was 33 years old and it was the first time in my entire life that I had done something that was truly brave , where I did n't worry about being perfect .","Ich erzähle diese Geschichte von meiner Kandidatur , weil ich damals 33 Jahre alt war und zu dem ersten Mal in meinem Leben etwas wirklich Mutiges getan hatte , bei dem ich nicht versuchte , perfekt zu sein .",1,6,0.1667
difficult,Edu,Affect,,,,,0,5,0.0
difficult,Edu,Judgement,schwierig,schwierig:3,It was getting difficult as they got into more advanced math topics .,"Es wurde schwierig , als sie in fortgeschrittenere Themen einstiegen .",3,5,0.6
difficult,Edu,Appreciation,schwer,schwer:2,"Well , it seems to me that this Hungarian presence in my life is difficult to account for , but ultimately I ascribe it to an admiration for people with a complex moral awareness , with a heritage of guilt and defeat matched by defiance and bravado .","Nun , mir erscheint diese ungarische Präsenz in meinem Leben schwer erklärbar , aber ich schreibe es letztlich einer Bewunderung für Menschen mit komplexer moralischer Achtsamkeit zu - mit einem Erbe aus Schuld und Niederlage , gepaart mit Trotz und Draufgängertum .",2,5,0.4
good,Edu,Affect,"gut, richtig","gut:2, richtig:1","And I 'm not very good at this , so I guess I 'd better go play video games or get into sports , or something like that , because I obviously do n't belong here .","Und ich bin hierin nicht wirklich gut , also denke ich , dass es besser ist , wenn ich mit Videospielen oder Sport auseinandersetze , oder irgendetwas anderes , weil sie das Gefühl haben , dass ich hier nicht hingehöre .",3,15,0.2
good,Edu,Judgement,"gut, ausgezeichnet","gut:4, ausgezeichnet:1","Mr. Teszler told him , "" You bring me the best workers that you can find , and if they are good enough , I will hire them . ""","Herr Teszler teilte ihm mit : "" Bringen Sie mir die besten Arbeiter die Sie finden können und wenn sie gut genug sind stelle ich sie ein . """,5,15,0.3333
good,Edu,Appreciation,"gut, Gut","gut:5, Gut:1","Even that middle tier , information processing , that 's what computers are good at .","Auch die mittlere Ebene , Informationsverarbeitung ist das , wofür Computer gut sind .",7,15,0.4667
happy,Edu,Affect,gerne,gerne:1,"It was n't a formal , organized learning process , and I 'm happy to admit that .","Der Lernprozess war nicht formell organisiert , und ich gebe gerne zu ,",1,4,0.25
happy,Edu,Judgement,,,,,0,4,0.0
happy,Edu,Appreciation,"dass, einverstanden, glücklich","dass:1, einverstanden:1, glücklich:1","These people -- in my , symbol - obsessed , twelve year - old imagination -- these people who are strangling themselves as one of the first things they do each morning , they ca n't possibly be happy .","Diese Menschen , die sich selbst jeden Morgen strangulieren , konnten in meiner zwölfjährigen Vorstellungskraft unmöglich glücklich sein .",3,4,0.75
important,Edu,Affect,wichtig,wichtig:1,"Now let me turn to a second question , a fairly different question , but I 'd say equally important .","Jetzt zu der zweiten Frage , einer recht anderen Frage aber gleich wichtig , glaube ich .",1,8,0.125
important,Edu,Judgement,wichtig,wichtig:1,"So play is practical , and it 's very important .",Also ist Spielen praktisch und sehr wichtig .,1,8,0.125
important,Edu,Appreciation,"wichtig, wichtiger","wichtig:3, wichtiger:3",Let 's start with why this is important .,Beginnen wir damit warum dies wichtig ist .,6,8,0.75
interested,Edu,Affect,"Interesse, werde","Interesse:2, werde:1","So I 'm not going to do that , I 'm not interested in doing that .",Also werde ich das nicht tun .,3,5,0.6
interested,Edu,Judgement,,,,,0,5,0.0
interested,Edu,Appreciation,interessieren,interessieren:2,"They do n't have the depth , the rich narrative that really engaging video games have , that the boys are really interested in .","Sie haben nicht die Tiefe , die tiefe Erzählkultur , die fesselnde Videospiele haben , die Jungen wirklich interessieren .",2,5,0.4
likely,Edu,Affect,,,,,0,6,0.0
likely,Edu,Judgement,Wahrscheinlichkeit,Wahrscheinlichkeit:1,They were more likely to redouble their efforts .,Sie verdoppelten eher ihren Einsatz .,3,6,0.5
likely,Edu,Appreciation,wahrscheinlicher,wahrscheinlicher:2,"Simply put , when the impulse is to change the world , the academy is more likely to engender a learned helplessness than to create a sense of empowerment .","Einfach gesagt , wenn es den Impuls gibt die Welt zu verändern , wird die Lehranstalt dazu neigen eine erlernte Hilflosigkeit zu erzeugen , anstatt eines Ermächtigungs - Gefühls .",3,6,0.5
more,Edu,Affect,,,"Social justice should be a part of the mission of every school and every teacher in America , if we want "" liberty and justice for all "" to be more than a slogan ... because schools are crucial places for children to become active citizens and to learn the skills and the tools that they need to change the world .","Soziale Gerechtigkeit sollte zu dem Auftrag aller Schulen und Lehrer der USA gehören , damit „ Freiheit und Gerechtigkeit für alle “ nicht nur ein Spruch bleibt . Schulen sind wesentliche Orte für Kinder , um aktive Bürger zu werden und um die Fähigkeiten und das Handwerk zu lernen , um die Welt zu verändern .",1,4,0.25
more,Edu,Judgement,mehr,mehr:1,But it 's more than that .,Aber es geht um noch mehr .,1,4,0.25
more,Edu,Appreciation,mehr,mehr:1,Play is more than just fun,"Stuart Brown sagt , Spielen ist mehr als Spaß - es ist lebenswichtig",2,4,0.5
old,Edu,Affect,"Jahren, alt","Jahren:2, alt:2","As far as I could tell at eleven or twelve years old , like , people with good jobs woke up very early in the morning ,","Soweit ich das mit elf oder zwölf Jahren sagen konnte , standen Menschen mit normalen Berufen morgens sehr früh auf .",4,6,0.6667
old,Edu,Judgement,alt,alt:1,We want our babies to read when they are six months old .,"Wir wollen , dass unsere Babies lesen können wenn sie sechs Monate alt sind .",1,6,0.1667
old,Edu,Appreciation,alt,alt:1,"When that mother and infant lock eyes , and the infant 's old enough to have a social smile , what happens -- spontaneously -- is the eruption of joy on the part of the mother .","Wenn diese Mutter und das Kind sich in die Augen gucken und das Kind schon alt genug ist , ein Soziallächeln aufzusetzen , dann gibt es spontan einen Freudenausbruch der Mutter .",1,6,0.1667
optimistic,Edu,Affect,"optimistisch, ziemlich optimistisch","optimistisch:3, ziemlich optimistisch:1","And so , I 'm pretty optimistic about it .",Ich bin ziemlich optimistisch .,4,4,1.0
optimistic,Edu,Judgement,,,,,0,4,0.0
optimistic,Edu,Appreciation,,,,,0,4,0.0
ready,Edu,Affect,,,,,0,4,0.0
ready,Edu,Judgement,"bereit, gewappnet","bereit:2, gewappnet:1","I also know that by waking him up hours before his natural biological clock tells him he 's ready , I 'm literally robbing him of his dreams -- the type of sleep most associated with learning , memory consolidation and emotional processing .","Ich weiß auch , dass , wenn ich ihn aufwecke , bevor sein biologischer Rhythmus bereit ist , ich ihn förmlich aus seinen Träumen reiße . Die Schlafphase mit der größten Verbindung zu dem Lernen , der Festigung der Erinnerungen und dem Verarbeiten von Emotionen .",3,4,0.75
ready,Edu,Appreciation,bereit,bereit:1,And here 's the thing : our kids are ready for this kind of work .,Unsere Kinder sind bereit für diese Art von Arbeit .,1,4,0.25
right,Edu,Affect,"hinkriegen, machen, richtig","hinkriegen:1, machen:1, richtig:1","Now , we put a lot of money into education , and I really think that education is the most important thing to get right for the country to have as strong a future as it should have .","Nun , wir stecken viel Geld in die Bildung und ich glaube wirklich , dass Bildung das Wichtigste ist hinzukriegen - damit das Land eine so starke Zukunft hat wie es verdient .",4,11,0.3636
right,Edu,Judgement,"Recht, recht, richtig","Recht:1, recht:1, richtig:1","She tried , she came close , but she did n't get it exactly right .","Sie versuchte es , kam der Sache nahe , hatte es aber nicht völlig richtig .",4,11,0.3636
right,Edu,Appreciation,"genau, richtig","genau:1, richtig:1","But on election day , the polls were right , and I only got 19 percent of the vote , and the same papers that said I was a rising political star now said I wasted 1.3 million dollars on 6,321 votes .","An dem Wahltag bewahrheiteten sich jedoch die Umfragen und ich erhielt nur 19 % der Wählerstimmen . Dieselben Zeitungen , die mich als aufgehenden Stern gefeiert hatten , schrieben nun , ich hätte 1,3 Mio . Dollar in den Sand gesetzt , und das Ganze für 6 321 Stimmen .",3,11,0.2727
sure,Edu,Affect,",, zusehen",",:1, zusehen:1",We need to make sure that people see that we need more men in the classroom .,"Wir müssen zusehen , dass ihnen auffällt , dass wir mehr Männer in den Klassenzimmern brauchen .",2,4,0.5
sure,Edu,Judgement,sicher,sicher:1,They are sure that parents and administrators will never accept anything .,"Sie sind sich sicher , dass Eltern und die Schulverwaltung sowas nicht akzeptieren würden .",1,4,0.25
sure,Edu,Appreciation,sicherlich,sicherlich:1,Expertise has for sure had its moments .,Die Expertise hat sicherlich ihre Momente gehabt .,1,4,0.25
wrong,Edu,Affect,falsch,falsch:2,And all of those fears that adults have about getting this stuff wrong -- all of those fears make total sense .,"Alle diese Ängste der Erwachsenen , diese Dinge falsch zu machen , ergeben Sinn .",2,5,0.4
wrong,Edu,Judgement,,,,,0,5,0.0
wrong,Edu,Appreciation,schief,schief:1,"And this might not seem like a problem to you , but like most problems , it 's only a problem when things go wrong .","Es mag für Sie nicht wie ein Problem aussehen , aber wie die meisten Probleme ist es nur dann ein Problem , wenn Dinge schief gehen .",3,5,0.6
able,Ent,Affect,"können, geschafft","können:3, geschafft:1",These are the kind of molecular programs we want to be able to write .,"Das sind die Arten von molekularen Programmen , die wir schreiben können wollen .",5,7,0.7143
able,Ent,Judgement,,,"It 's not there yet , but in a couple years , there will be so many systems and tools for them to just make a living online , and if they 've got a podcast that 's starting to take off , but they 're not able to make money on it yet , that 's happening and they 're going to be paid .","Es ist noch nicht fertig , aber in einigen Jahren wird es für sie viele Systeme und Tools geben , um online genug Geld zu verdienen . Wenn sie einen erfolgreichen Podcast haben und noch kein Geld damit verdienen , wird es passieren und sie werden dafür bezahlt werden .",1,7,0.1429
able,Ent,Appreciation,schlussendlich,schlussendlich:1,"On the upside , the man that I worshipped as a child , the man that I wanted to become as an adult , I was finally able to get his autograph .","Das Tolle daran war , dass der Mann , den ich als Kind so bewunderte und der ich als Erwachsener so gerne werden wollte , mir schlussendlich sein Autogramm gab .",1,7,0.1429
amazing,Ent,Affect,,,,,0,8,0.0
amazing,Ent,Judgement,,,,,0,8,0.0
amazing,Ent,Appreciation,"unglaublich, Unglaublich, etwas Fantastisches, großartig, ziemlich erstaunlich","unglaublich:4, Unglaublich:1, etwas Fantastisches:1, großartig:1, ziemlich erstaunlich:1","' Cause this is amazing ! ""","Denn es ist großartig ! """,8,8,1.0
available,Ent,Affect,,,,,0,3,0.0
available,Ent,Judgement,,,,,0,3,0.0
available,Ent,Appreciation,"Lebensmittel, Verfügung, gibt","Lebensmittel:1, Verfügung:1, gibt:1","They would leave Lydia , and they would go out in search of a new place to live , leaving behind just enough people to survive on the resources that were available , and hopefully to take their civilization somewhere else where they could thrive .","Sie verließen Lydien und machten sich auf die Suche nach einer neuen Heimat . Sie ließen gerade so viele Menschen zurück , wie es Lebensmittel zu dem Überleben gab und suchten mit dem Rest nach einer Gegend , in der sie gedeihen konnten .",3,3,1.0
better,Ent,Affect,"besser, mehr","besser:2, mehr:1","This is a piece of graffiti in my old neighborhood in Berkeley , California , where I did my PhD on why we 're better in games than we are in real life .","Dies ist ein Graffiti in meiner ehemaligen Heimat in Berkeley , Kalifornien , wo ich in meiner Doktorarbeit untersuchte warum wir in Spielen besser sind als in dem echten Leben .",3,8,0.375
better,Ent,Judgement,"besser, immer","besser:3, immer:1",It 's just better than reality .,Sie sind einfach besser als die Realität .,4,8,0.5
better,Ent,Appreciation,besser,besser:1,"According to Herodotus , after 18 years the famine was n't getting better , so the king decided they would play one final dice game .","Laut Herodotus wurde nach 18 Jahren die Hungersnot nicht besser . Also beschloss der König , ein letztes Würfelspiel anzusetzen .",1,8,0.125
capable,Ent,Affect,in,in:1,"But it 's also apt , because it turns out that by spending all this time playing games , we 're actually changing what we are capable of as human beings .","Aber auch angebracht . Denn es stellt sich heraus , dass wir , indem wir diese ganze Zeit auf das Spielen verwenden , tatsächlich das verändern , wozu wir als Menschen in der Lage sind .",1,3,0.3333
capable,Ent,Judgement,,,These are people who believe that they are individually capable of changing the world .,"Es sind Menschen , die glauben , dass sie als Einzelne die Welt verändern können .",2,3,0.6667
capable,Ent,Appreciation,,,,,0,3,0.0
dead,Ent,Affect,,,,,0,3,0.0
dead,Ent,Judgement,tot,tot:3,But you go back to the same vent eight years later and it can be completely dead .,Aber dann kommen Sie acht Jahre später zu dem gleichen Schlot zurück und er kann komplett tot sein .,3,3,1.0
dead,Ent,Appreciation,,,,,0,3,0.0
different,Ent,Affect,,,,,0,4,0.0
different,Ent,Judgement,anders,anders:2,"And it was different , but not worse off .","Es war anders , aber nicht schlechter .",2,4,0.5
different,Ent,Appreciation,"anders, unterscheidet","anders:1, unterscheidet:1","And that ephemeral nature of the hydrothermal vent community is n't really different from some of the areas that I 've seen in 35 years of traveling around , making films .","Die Vergänglichkeit der hydrothermalen Schlotgesellschaft unterscheidet sich nicht wirklich von einigen Gebieten , die ich in den 35 Jahren gesehen habe , in denen ich herumgereist bin und Filme gemacht habe .",2,4,0.5
enough,Ent,Affect,,,,,0,3,0.0
enough,Ent,Judgement,,,,,0,3,0.0
enough,Ent,Appreciation,"ausreichen, genug","ausreichen:1, genug:1","This is not science , but this was enough for me to be really interested in how we have evolved and how we can trace our line .","Das ist keine Wissenschaft , aber es reichte aus , mich dafür zu interessieren , wie wir uns entwickelt haben und wie wir unsere Spuren verfolgen können .",3,3,1.0
famous,Ent,Affect,berühmt,berühmt:2,"And when I started my blog , it was really this one goal -- I said , "" I am not going to be famous to the world , but I could be famous to people on the Internet . ""","Und als ich den Blog begann , hatte ich wirklich nur ein Ziel . Ich wusste , ich würde nicht auf der ganzen Welt berühmt werden . Aber ich könnte für die Leute in dem Internet berühmt werden .",2,3,0.6667
famous,Ent,Judgement,,,,,0,3,0.0
famous,Ent,Appreciation,berühmt,berühmt:1,Any one of you could be famous on the Internet by next Saturday .,Jeder einzelne von euch könnte über das Internet bis nächsten Samstag berühmt sein .,1,3,0.3333
good,Ent,Affect,"gut, Stärke, weniger","gut:6, Stärke:1, weniger:1",We feel that we are not as good in reality as we are in games .,"Wir denken , dass wir in der Realität nicht so gut sind wie in Spielen .",8,17,0.4706
good,Ent,Judgement,gut,gut:3,"Nobody wants to change how they live , just because it 's good for the world , or because we 're supposed to .","Niemand möchte sein Leben ändern , weil es gut für die Umwelt ist oder weil wir es sollten .",3,17,0.1765
good,Ent,Appreciation,"gut, Nutzen, schlecht","gut:4, Nutzen:1, schlecht:1",That 's not good .,Das ist nicht gut .,6,17,0.3529
great,Ent,Affect,:,::1,"And I thought , well , great .",Da dachte ich :,1,4,0.25
great,Ent,Judgement,super,super:1,"And do n't get me wrong -- sometimes I loved it and it was great , but other times , I felt like I had been left alone to fend for myself .","Verstehen Sie mich nicht falsch -- manchmal war es super , aber es gab Zeiten , in denen ich mich verlassen fühlte ; alleine kämpfte .",1,4,0.25
great,Ent,Appreciation,"daran, klar","daran:1, klar:1",So that 's great .,Alles klar . Prima .,2,4,0.5
happy,Ent,Affect,"glücklich, froh dass","glücklich:2, froh dass:1","I was n't happy with my job , because I was a designer , but I was n't being really stimulated .","Ich war nicht glücklich mit meinem Job , ich war eine Designerin , aber das war nicht sehr stimulierend .",3,9,0.3333
happy,Ent,Judgement,glücklich,glücklich:5,"I ca n't tell if she 's happy or sad , and I change my mind all the time .","Ich weiß nicht , ob sie glücklich oder traurig ist , und ich ändere ständig meine Meinung .",5,9,0.5556
happy,Ent,Appreciation,kriegswütig,kriegswütig:1,"Your pupils dilate , your muscles contract , your Spidey sense tingles , basically your whole body is trigger - happy .","Die Pupillen erweitern sich , die Muskeln spannen sich an , dein "" Spidey sense "" meldet sich , dein ganzer Körper ist nur kriegswütig .",1,9,0.1111
important,Ent,Affect,wichtig,wichtig:1,So -- the life record of a blog is something that I find incredibly important .,"Also , die Aufzeichnung eines Lebens auf einem Blog ist etwas , das ich unglaublich wichtig finde .",1,6,0.1667
important,Ent,Judgement,,,,,0,6,0.0
important,Ent,Appreciation,"wichtig, Wichtig","wichtig:4, Wichtig:1","I think that media companies are going to hire a lot more women , because they realize this is important for their business , and I think that women are also going to continue to dominate the social media sphere .","Ich denke , dass die Medienkonzerne viel mehr Frauen anstellen werden , weil sie erkennen , dass es für ihr Business wichtig ist . Und ich denke , dass Frauen auch weiterhin dominieren werden in dem Bereich der Social Media .",5,6,0.8333
nervous,Ent,Affect,"nervös, nervöser nervöser","nervös:6, nervöser nervöser:1","Over the past couple of days , as I 've been preparing for my speech , I 've become more and more nervous about what I 'm going to say and about being on the same stage as all these fascinating people .","Die letzten paar Tage , als ich meinen Vortrag vorbereitet habe , wurde ich immer nervöser und nervöser darüber , was ich sagen würde und darüber , auf der Bühne zu sein , genau wie all diese faszinierenden Menschen .",7,7,1.0
nervous,Ent,Judgement,,,,,0,7,0.0
nervous,Ent,Appreciation,,,,,0,7,0.0
old,Ent,Affect,"alt, elf","alt:4, elf:1","When I was four years old , I have a vivid memory of finding two pinpoint scars on my ankle and asking my dad what they were .","Als ich vier Jahre alt war -- ich erinnere mich lebhaft -- fand ich zwei spitze Narben an meinem Fußgelenk und fragte meinen Vater , was das sei .",5,5,1.0
old,Ent,Judgement,,,,,0,5,0.0
old,Ent,Appreciation,,,,,0,5,0.0
possible,Ent,Affect,,,,,0,5,0.0
possible,Ent,Judgement,möglich,möglich:1,"An epic win is an outcome that is so extraordinarily positive , you had no idea it was even possible until you achieved it .","Ein epischer Sieg ist ein Ergebnis , das so überaus positiv ist , dass Sie vorher gar nicht wussten , dass es überhaupt möglich war .",1,5,0.2
possible,Ent,Appreciation,möglich,möglich:4,"Gamers always believe that an epic win is possible , and that it 's always worth trying , and trying now .","Spieler glauben immer daran , dass ein epischer Sieg möglich ist , und dass es sich immer lohnt , es zu versuchen , und zwar gleich .",4,5,0.8
right,Ent,Affect,richtig,richtig:1,You do n't think I was right ?,"Du denkst , das war nicht richtig ?",1,7,0.1429
right,Ent,Judgement,geht,geht:1,It 's all right .,Es geht .,1,7,0.1429
right,Ent,Appreciation,"richtig, ,, normal","richtig:2, ,:1, normal:1","Actually , that whole row is n't right .",Eigentlich ist die gesamte Reihe hier nicht ganz normal .,5,7,0.7143
same,Ent,Affect,,,,,0,8,0.0
same,Ent,Judgement,"Gleiche, gleich, gleichen","Gleiche:1, gleich:1, gleichen:1","Film , it 's an incredible medium , but essentially , it 's the same now as it was then . It 's a group of rectangles that are played in a sequence . And we 've done incredible things with those rectangles .","Film ist ein unglaubliches Medium , aber in dem Prinzip das Gleiche wie früher : eine Serie von rechteckigen Bildern , die nacheinander abgespielt werden .",4,8,0.5
same,Ent,Appreciation,"gleichen, gleich, gleiche","gleichen:2, gleich:1, gleiche:1",I want you to first notice that those two desert scenes are physically the same .,"Ich möchte , dass Sie zuerst erkennen , dass diese zwei Wüstenszenen physikalisch die gleichen sind .",4,8,0.5
sure,Ent,Affect,"sicher, todsicher","sicher:2, todsicher:1","And apparently , evolution had occurred at a pretty rapid rate on One Tree , between the time they named it and the time I arrived , because I 'm sure there were at least three trees on that island when we were there .","Offensichtlich war eine ziemlich rapide Entwicklung auf One Tree von statten gegangen seit der Zeit , als sie die Insel benannten bis ich dort ankam , denn ich bin mir sicher , dass es auf dieser Insel mindestens drei Bäume gab , als wir dort waren .",4,4,1.0
sure,Ent,Judgement,,,,,0,4,0.0
sure,Ent,Appreciation,,,,,0,4,0.0
true,Ent,Affect,,,,,0,10,0.0
true,Ent,Judgement,stimmt,stimmt:1,It 's true .,Das stimmt .,2,10,0.2
true,Ent,Appreciation,"stimmt, Wahrheit, generell, gilt, stimmen, wahr, zutreffend","stimmt:2, Wahrheit:1, generell:1, gilt:1, stimmen:1, wahr:1, zutreffend:1","But actually , according to my research at the Institute for the Future , actually the opposite is true .","Tatsächlich aber , meiner Forschung an dem Institut für die Zukunft zufolge , ist genau das Gegenteil zutreffend .",8,10,0.8
able,His,Affect,"in Lage, lernen","in Lage:1, lernen:1","And because of the fact that I realized that I was able to learn things visually that I could n't learn in other ways , this became my strategy , this became my tactic for understanding everything else .","Weil ich jetzt die Sachen bildlich lernen konnte , dass ich anders lernen konnte , wurde das meine Strategie , meine Taktik auch alles andere zu verstehen .",3,7,0.4286
able,His,Judgement,,,"With stalwart audiences like this , the Peerzadas were able to conclude their festival on schedule .",Mit einem solch standhaften Publikum konnten die Peerzadas ihr Festival wie geplant abschließen .,2,7,0.2857
able,His,Appreciation,"Lage, können","Lage:1, können:1","And on the back are some other devices , measuring tools and scales , to be able to make some calculations .","Und auf der Rückseite sind einige andere Spielereien , Messwerkzeuge , und Skalen , um einige Kalkulationen machen zu können .",2,7,0.2857
about,His,Affect,,,,,0,4,0.0
about,His,Judgement,dabei,dabei:2,But as he was about to put his signature on the Proclamation his own hand was numb and shaking because he had shaken a thousand hands that morning at a New Year 's reception .,"Aber als er gerade dabei war , seine Unterschrift unter die Proklamation zu setzen , war seine Hand taub und zitterte , weil er an dem Morgen tausend Hände während eines Neujahrsempfangs geschüttelt hatte .",3,4,0.75
about,His,Appreciation,gleich,gleich:1,"That spark is about to be conferred by the creator in that finger , which is one millimeter from the hand of Adam .","Dieser Funke wird ihm gleich von dem Schöpfer in den Finger übertragen , der einen Millimeter von Adams Hand entfernt ist .",1,4,0.25
alone,His,Affect,allein,allein:2,"But another part of me said , this is remarkable . Here I am alone in my office , but I 'm not alone at all .","Andererseits dachte ich , das ist erstaunlich , hier sitze ich allein in meinem Büro , aber ich bin überhaupt nicht allein .",2,3,0.6667
alone,His,Judgement,,,,,0,3,0.0
alone,His,Appreciation,allein,allein:1,"Despite all that power , all that wealth , he was alone when he finally died -- his ultimate terror realized .","Trotz dieser Macht , trotz dieses Wohlstands war er allein , als er starb - seine größte Angst wurde wahr .",1,3,0.3333
amazing,His,Affect,,,,,0,4,0.0
amazing,His,Judgement,"erstaunlicher, wunderbar","erstaunlicher:1, wunderbar:1",She is amazing .,Sie ist wunderbar .,2,4,0.5
amazing,His,Appreciation,"großartig, toll","großartig:1, toll:1",This is just amazing .,Das ist einfach großartig .,2,4,0.5
better,His,Affect,verbessert,verbessert:1,"We 've got technology on our side , and it keeps getting better .","Wir haben die Technologie auf unserer Seite , die sich stetig verbessert .",1,4,0.25
better,His,Judgement,besser,besser:1,"Because if we get it out of the streets , it 'll smell much better , and -- oh right , we drink from the river .","Es würde ja viel besser riechen , wenn der Abfall aus den Straßen wegkommt . Und ... ach ja , richtig , wir trinken ja aus dem Fluss .",1,4,0.25
better,His,Appreciation,besser,besser:2,"Sometimes I still hear her voice in my head saying , with no bravado whatsoever , "" The situation of the women of Afghanistan will be better someday .","Manchmal höre ich sie immer noch ganz ohne Übertreibung sagen : "" Die Situation der Frauen in Afghanistan wird eines Tages besser sein .",2,4,0.5
clear,His,Affect,klar,klar:2,But it soon became clear that Abraham Lincoln would emerge as the undisputed captain of this unruly team .,"Aber es wurde schnell klar , dass Abraham Lincoln als der unumstrittene Kapitän seiner unbändigen Mannschaft hervorgehen würde .",2,3,0.6667
clear,His,Judgement,klar,klar:1,"So , tonight , if it 's clear you 'll be able to see the summer triangle .","Also , heute Nacht ist es klar , ihr werdet das Sommerdreieck sehen können .",1,3,0.3333
clear,His,Appreciation,,,,,0,3,0.0
dead,His,Affect,"bereits tot, erschossen, gestorben","bereits tot:1, erschossen:1, gestorben:1","The people who lived in the myriads of towns and villages and cities on the Eastern front , who watched their neighbors be rounded up -- men , women , children , young , old -- and be marched to the outskirts of the town to be shot and left dead in ditches .","Die Menschen , die in den unzähligen Städten und Dörfern an der Ostfront lebten , die zusahen , wie ihre Nachbarn gefasst wurden -- Männer , Frauen , Kinder , Junge , Alte -- und an den Stadtrand gebracht wurden , um dort erschossen und in Gruben liegen gelassen zu werden .",3,3,1.0
dead,His,Judgement,,,,,0,3,0.0
dead,His,Appreciation,,,,,0,3,0.0
excited,His,Affect,"aufgeregt, begeistert","aufgeregt:2, begeistert:1","Nonetheless I was really excited about it , because in all the other classes that I had , we did n't even have that conversation .","Dennoch hat es mich sehr begeistert , denn in all meinen anderen Kursen , sprachen wir gar nicht darüber .",3,4,0.75
